data;opr;sku;cant;pretMdf;pret;oprViz;nume;costNetRon;valPret;valCost;idx;Taraba;Depozit;Stricate;Altele;Client;Furnizor
140901;tv;0;1;39;39;tv;10070avr.cdg;23.86247312;39;23.86247312;36;0;0;0;0;1;-1
140829;tpfm;148;1;35;35;Tp_Fm;1056gozon;0;35;0;64;1;0;0;0;0;-1
140829;tpfm;141;2;39;39;Tp_Fm;1312busem;22.9;78;45.8;62;1;0;0;0;1;-2
140829;tpfm;160;1;50;50;Tp_Fm;1352szn.sco;0;50;0;58;1;0;0;0;0;-1
140826;tv;65;1;15;15;tv;15curea;7;15;7;10;5;0;0;0;3;-8
140827;tv;65;1;15;15;tv;15curea;7;15;7;16;5;0;0;0;3;-8
140829;tpfm;145;3;15;15;Tp_Fm;15rdsBML;0;45;0;51;1;0;0;0;2;-3
140831;tv;145;1;15;15;tv;15rdsBML;0;15;0;32;1;0;0;0;2;-3
140828;tv;62;1;20;20;tv;20curea;10;20;10;18;5;0;0;0;5;-10
140827;tv;110;1;20;20;tv;20maieu;11;20;11;13;7;0;0;0;2;-9
140901;tv;110;1;20;20;tv;20maieu;11;20;11;39;7;0;0;0;2;-9
140828;tv;84;1;45;45;tv;2305cms.ptk;27.76174123;45;27.76174123;20;2;15;0;0;2;-19
140901;tv;84;1;45;45;tv;2305cms.ptk;27.76174123;45;27.76174123;38;2;15;0;0;2;-19
140831;tv;85;1;55;55;tv;2314cms.ptk;31.02782844;55;31.02782844;35;0;1;0;0;1;-2
140826;tv;5;2;15;15;tv;25reduse;0;30;0;7;7;7;0;0;3;-17
140827;tv;5;1;15;15;tv;25reduse;0;15;0;14;7;7;0;0;3;-17
140829;dptm;7;1;39;39;Dp_Tm;278rch.bsm;25.5659548;39;25.5659548;66;-1;7;0;0;0;-6
140829;tpfm;156;2;50;50;Tp_Fm;3142zrs.sco;0;100;0;57;2;0;0;0;0;-2
140828;tv;130;1;75;75;tv;315gcBlug;45;75;45;19;1;0;0;0;1;-2
140829;tv;80;1;20;20;tv;4434fmor.rch;7.875666817;20;7.875666817;41;7;0;0;0;1;-8
140826;tpfm;136;4;59;59;Tp_Fm;5118nsn;35;236;140;2;0;0;0;0;4;-4
140826;tv;136;1;59;59;tv;5118nsn;35;59;35;9;0;0;0;0;4;-4
140827;tv;67;1;55;55;tv;65yihao.vst.blug;30;55;30;12;0;0;0;0;1;-1
140829;tpfm;155;1;50;50;Tp_Fm;7003smd.sco;0;50;0;65;1;0;0;0;0;-1
140829;tpfm;143;2;39;39;Tp_Fm;7058fa.sco;0;78;0;48;0;0;0;0;2;-2
140902;tv;143;1;39;39;tv;7058fa.sco;0;39;0;76;0;0;0;0;2;-2
140829;tpfm;144;2;65;65;Tp_Fm;7065fa.gc;0;130;0;46;2;0;0;0;0;-2
140829;tpfm;147;2;49;49;Tp_Fm;7069sis;0;98;0;45;2;0;0;0;0;-2
140829;tpfm;142;2;49;49;Tp_Fm;7360plv.pll;0;98;0;49;0;0;0;0;2;-2
140902;tv;142;1;49;49;tv;7360plv.pll;0;49;0;73;0;0;0;0;2;-2
140829;tpfm;151;3;19;19;Tp_Fm;adyaro.clt;0;57;0;52;3;0;0;0;0;-3
140829;tpfm;158;2;59;59;Tp_Fm;ashilda.plv.cdg;0;118;0;47;1;0;0;0;1;-2
140902;tv;64;1;35;35;tv;braur.rch;20;35;20;70;0;0;0;0;1;-1
140825;dpfm;97;3;29;29;Dp_Fm;bsk.patrf;14.69739242;87;44.09217725;0;0;5;0;0;0;-5
140829;tpfm;149;10;10;10;Tp_Fm;cache.bml;0;100;0;50;2;0;0;0;8;-10
140831;tv;149;1;10;10;tv;cache.bml;0;10;0;33;2;0;0;0;8;-10
140831;tv;149;1;10;10;tv;cache.bml;0;10;0;34;2;0;0;0;8;-10
140902;tv;149;3;10;10;tv;cache.bml;0;30;0;69;2;0;0;0;8;-10
140828;tv;25;1;59;59;tv;camasa.ptk;28.12255028;59;28.12255028;17;0;0;0;0;1;-1
140829;tpfm;154;1;59;59;Tp_Fm;crocodil.cellar.women;0;59;0;56;1;0;0;0;0;-1
140826;tv;134;1;35;35;tv;dae.trendy18.cdg;12;35;12;11;3;0;0;0;13;-16
140827;tv;134;1;35;35;tv;dae.trendy18.cdg;12;35;12;15;3;0;0;0;13;-16
140828;tv;134;1;35;35;tv;dae.trendy18.cdg;12;35;12;22;3;0;0;0;13;-16
140830;tv;134;1;35;35;tv;dae.trendy18.cdg;12;35;12;29;3;0;0;0;13;-16
140829;tv;29;1;30;30;tv;epolet.blz;15.33957288;30;15.33957288;43;0;2;0;0;1;-3
140829;tpfm;150;5;25;25;Tp_Fm;esq.clt;0;125;0;53;5;0;0;0;0;-5
140829;tv;31;1;45;45;tv;fusta.ptk;32.38354274;45;32.38354274;44;0;7;0;0;1;-8
140826;tpfm;138;7;110;100;Tp_Fm;itenly.gc;65;700;455;4;5;0;0;0;5;-10
140826;spfm;138;3;110;100;Sp_Fm;itenly.gc;65;300;195;6;5;0;0;0;5;-10
140902;tv;138;1;110;100;tv;itenly.gc;65;100;65;68;5;0;0;0;5;-10
140902;tv;138;1;110;100;tv;itenly.gc;65;100;65;72;5;0;0;0;5;-10
140903;tpsm;138;3;110;100;Tp_Sm;itenly.gc;65;300;195;78;5;0;0;0;5;-10
140829;tpfm;157;4;25;25;Tp_Fm;pantera.clt;0;100;0;54;4;0;0;0;0;-4
140829;tpfm;146;2;39;39;Tp_Fm;piele.cms;0;78;0;59;2;0;0;0;0;-2
140829;tpfm;152;2;19;19;Tp_Fm;piele.zra;0;38;0;60;2;0;0;0;0;-2
140826;tv;131;1;69;69;tv;R5geacaFas;45;69;45;8;0;0;0;0;4;-4
140830;tv;131;1;69;69;tv;R5geacaFas;45;69;45;23;0;0;0;0;4;-4
140902;tv;131;1;69;69;tv;R5geacaFas;45;69;45;71;0;0;0;0;4;-4
140829;tv;120;1;15;15;tv;saco.vch;0;15;0;42;0;0;0;0;1;-1
140826;tpfm;135;7;55;55;Tp_Fm;seyhan.cdg;30;385;210;1;1;0;0;0;6;-7
140830;tv;135;1;55;55;tv;seyhan.cdg;30;55;30;24;1;0;0;0;6;-7
140830;tv;135;1;55;55;tv;seyhan.cdg;30;55;30;26;1;0;0;0;6;-7
140830;tv;135;2;55;55;tv;seyhan.cdg;30;110;60;28;1;0;0;0;6;-7
140831;tv;135;1;55;55;tv;seyhan.cdg;30;55;30;31;1;0;0;0;6;-7
140830;tv;47;1;39;39;tv;siensi.cdg;13.63517589;39;13.63517589;25;1;2;0;0;2;-5
140901;tv;47;1;39;39;tv;siensi.cdg;13.63517589;39;13.63517589;37;1;2;0;0;2;-5
140829;tpfm;139;5;19;19;Tp_Fm;smora.blz;7.9;95;39.5;63;7;0;0;0;7;-14
140830;tv;139;1;19;19;tv;smora.blz;7.9;19;7.9;27;7;0;0;0;7;-14
140830;tv;139;1;19;19;tv;smora.blz;7.9;19;7.9;30;7;0;0;0;7;-14
140902;tv;139;1;19;19;tv;smora.blz;7.9;19;7.9;74;7;0;0;0;7;-14
140829;tpfm;159;2;45;45;Tp_Fm;yare.sco;0;90;0;55;2;0;0;0;0;-2
140828;tv;61;1;45;45;tv;yhaoo.vst.blg;30;45;30;21;1;0;0;0;2;-3
140826;tpfm;137;6;120;110;Tp_Fm;yira.gc;65;660;390;3;10;20;0;1;13;-44
140826;dpfm;137;17;120;110;Dp_Fm;yira.gc;65;1870;1105;5;10;20;0;1;13;-44
140829;tv;137;1;120;110;tv;yira.gc;65;110;65;40;10;20;0;1;13;-44
140902;tv;137;2;120;110;tv;yira.gc;65;220;130;67;10;20;0;1;13;-44
140902;tv;137;1;120;110;tv;yira.gc;65;110;65;77;10;20;0;1;13;-44
140829;tpfm;153;4;25;25;Tp_Fm;zra.blz;0;100;0;61;2;0;0;0;2;-4
140902;tv;153;1;25;25;tv;zra.blz;0;25;0;75;2;0;0;0;2;-4
